n,Delta,Beta,Max number,Time (s),Readable Time
6,0.8,3,500,0.034901,"0.0 minutes, 0 seconds"
8,0.8,3,500,0.123669,"0.0 minutes, 0 seconds"
10,0.8,3,500,0.437829,"0.0 minutes, 0 seconds"
12,0.8,3,500,1.161890,"0.0 minutes, 1 seconds"
14,0.8,3,500,1.999651,"0.0 minutes, 1 seconds"
16,0.8,3,500,4.578745,"0.0 minutes, 4 seconds"
18,0.8,3,500,6.101152,"0.0 minutes, 6 seconds"
20,0.8,3,500,17.570241,"0.0 minutes, 17 seconds"
22,0.8,3,500,17.509117,"0.0 minutes, 17 seconds"
24,0.8,3,500,35.650926,"0.0 minutes, 35 seconds"
26,0.8,3,500,49.074311,"0.0 minutes, 49 seconds"
28,0.8,3,500,47.706981,"0.0 minutes, 47 seconds"
