n,Delta,Beta,Max number,Time (s),Readable Time
30,0.75,7,499,3.876110,"0 minutes, 3 seconds"
40,0.75,7,499,16.085100,"0 minutes, 16 seconds"
50,0.75,7,499,28.292689,"0 minutes, 28 seconds"
60,0.75,7,499,62.960607,"1 minutes, 2 seconds"
70,0.75,7,499,119.169763,"1 minutes, 59 seconds"
80,0.75,7,499,174.615069,"2 minutes, 54 seconds"
90,0.75,7,499,416.711199,"6 minutes, 56 seconds"
100,0.75,7,499,742.933075,"12 minutes, 22 seconds"
110,0.75,7,499,903.628052,"15 minutes, 3 seconds"
120,0.75,7,499,1250.929271,"20 minutes, 50 seconds"
