n,Length (int),Time (s),Readable Time
10,161113,0.000000,"0 minutes, 0 seconds"
15,153093,0.000000,"0 minutes, 0 seconds"
20,230908,0.005002,"0 minutes, 0 seconds"
25,365992,0.013000,"0 minutes, 0 seconds"
30,634989,0.209997,"0 minutes, 0 seconds"
35,508159,0.055005,"0 minutes, 0 seconds"
40,843939,3.989997,"0 minutes, 3 seconds"
45,951407,123.791219,"2 minutes, 3 seconds"
50,1128115,16.009993,"0 minutes, 16 seconds"
60,1349603,425.183748,"7 minutes, 5 seconds"
70,,,"More than 9 hours 50 minutes"
