n&Delta&Beta&Max number&Time (s)&Readable Time
10&0.75&7&499&0.039340&0 minutes, 0 seconds\\
15&0.75&7&499&0.234998&0 minutes, 0 seconds\\
20&0.75&7&499&0.775998&0 minutes, 0 seconds\\
25&0.75&7&497&1.530001&0 minutes, 1 seconds\\
30&0.75&7&499&4.443633&0 minutes, 4 seconds\\
35&0.75&7&499&6.896001&0 minutes, 6 seconds\\
40&0.75&7&499&12.340992&0 minutes, 12 seconds\\
45&0.75&7&499&17.798005&0 minutes, 17 seconds\\
50&0.75&7&499&28.570939&0 minutes, 28 seconds\\
60&0.75&7&499&54.073001&0 minutes, 54 seconds\\
70&0.75&7&499&110.729280&1 minutes, 50 seconds\\
80&0.75&7&499&211.551288&3 minutes, 31 seconds\\
90&0.75&7&499&315.362463&5 minutes, 15 seconds\\
100&0.75&7&499&514.454959&8 minutes, 34 seconds\\
110&0.75&7&499&712.251966&11 minutes, 52 seconds\\
120&0.75&7&499&1046.610697&17 minutes, 26 seconds\\
130&0.75&7&499&1540.475125&25 minutes, 40 seconds\\
140&0.75&7&499&2140.045612&35 minutes, 40 seconds\\
150&0.75&7&499&2920.801720&48 minutes, 40 seconds\\
