n,Delta,Beta,Max number,Time (s),Readable Time
5,0.8,3,482,0.007979,"0 minutes, 0 seconds"
7,0.8,3,496,0.036565,"0 minutes, 0 seconds"
9,0.8,3,490,0.221506,"0 minutes, 0 seconds"
11,0.8,3,486,0.470719,"0 minutes, 0 seconds"
13,0.8,3,498,1.616169,"0 minutes, 1 seconds"
15,0.8,3,499,3.953897,"0 minutes, 3 seconds"
17,0.8,3,499,4.906352,"0 minutes, 4 seconds"
19,0.8,3,499,13.330828,"0 minutes, 13 seconds"
21,0.8,3,499,15.679817,"0 minutes, 15 seconds"
23,0.8,3,499,48.146163,"0 minutes, 48 seconds"
25,0.8,3,499,39.564062,"0 minutes, 39 seconds"
