n&Delta&Beta&Max number&Time (s)&Readable Time
6&0.8&3&500&0.021481&0.0 minutes, 0 seconds
8&0.8&3&500&0.118630&0.0 minutes, 0 seconds
10&0.8&3&500&0.263298&0.0 minutes, 0 seconds
12&0.8&3&500&0.657289&0.0 minutes, 0 seconds
14&0.8&3&500&1.630635&0.0 minutes, 1 seconds
16&0.8&3&500&4.025179&0.0 minutes, 4 seconds
18&0.8&3&500&8.190583&0.0 minutes, 8 seconds
20&0.8&3&500&12.269114&0.0 minutes, 12 seconds
22&0.8&3&500&16.131870&0.0 minutes, 16 seconds
24&0.8&3&500&27.830646&0.0 minutes, 27 seconds
26&0.8&3&500&38.649606&0.0 minutes, 38 seconds
28&0.8&3&500&55.970572&0.0 minutes, 55 seconds
